filename,width,height,class,xmin,ymin,xmax,ymax
BacterialSpot07_jpg.rf.ac07ca4bcad024ba45d781eeb387888a.jpg,640,640,Tomato leaf mosaic virus,192,192,223,245
BacterialSpot07_jpg.rf.ac07ca4bcad024ba45d781eeb387888a.jpg,640,640,Tomato leaf mosaic virus,142,246,169,320
BacterialSpot07_jpg.rf.ac07ca4bcad024ba45d781eeb387888a.jpg,640,640,Tomato leaf mosaic virus,175,439,208,506
BacterialSpot07_jpg.rf.ac07ca4bcad024ba45d781eeb387888a.jpg,640,640,Tomato leaf mosaic virus,111,354,137,408
BacterialSpot07_jpg.rf.ac07ca4bcad024ba45d781eeb387888a.jpg,640,640,Tomato leaf mosaic virus,226,321,257,394
IMG_0863_1500x1500-253E_jpg.rf.27887e595275772d0e04380029e768d6.jpg,640,640,Tomato Septoria leaf spot,44,0,411,588
IMG_0863_1500x1500-253E_jpg.rf.27887e595275772d0e04380029e768d6.jpg,640,640,Tomato Septoria leaf spot,195,73,612,639
20090710-lateblight_jpg.rf.5e2236217eed67b88a29dfe6ad5c6690.jpg,640,640,Tomato leaf mosaic virus,13,253,276,550
lbleaf_jpg.rf.923866112104a46aace100c02532059e.jpg,640,640,Tomato leaf mosaic virus,248,85,419,531
lbleaf_jpg.rf.923866112104a46aace100c02532059e.jpg,640,640,Tomato leaf mosaic virus,455,298,616,582
lbleaf_jpg.rf.923866112104a46aace100c02532059e.jpg,640,640,Tomato leaf mosaic virus,162,390,305,635
Bacterial-Spot-Tomatoes_jpg.rf.318f4da2a9c880762698cf5acac5eda6.jpg,640,640,Tomato leaf mosaic virus,237,358,346,493
Bacterial-Spot-Tomatoes_jpg.rf.318f4da2a9c880762698cf5acac5eda6.jpg,640,640,Tomato leaf mosaic virus,403,256,583,455
Bacterial-Spot-Tomatoes_jpg.rf.318f4da2a9c880762698cf5acac5eda6.jpg,640,640,Tomato leaf mosaic virus,230,38,576,250
Bacterial-Spot-Tomatoes_jpg.rf.318f4da2a9c880762698cf5acac5eda6.jpg,640,640,Tomato leaf mosaic virus,33,64,199,333
Late-blight-symptoms-on-tomato-leaves-1r3uhy2_jpg.rf.a3ec455c4a2e37b9276f5295241817a7.jpg,640,640,Tomato leaf mosaic virus,423,113,549,213
Late-blight-symptoms-on-tomato-leaves-1r3uhy2_jpg.rf.a3ec455c4a2e37b9276f5295241817a7.jpg,640,640,Tomato leaf mosaic virus,118,120,372,298
Late-blight-symptoms-on-tomato-leaves-1r3uhy2_jpg.rf.a3ec455c4a2e37b9276f5295241817a7.jpg,640,640,Tomato leaf mosaic virus,457,244,638,455
Late-blight-symptoms-on-tomato-leaves-1r3uhy2_jpg.rf.a3ec455c4a2e37b9276f5295241817a7.jpg,640,640,Tomato leaf mosaic virus,257,344,538,639
100983448_jpg.rf.02b1cdedfa0afd37b45554c0e1fde3f1.jpg,640,640,Tomato Early blight leaf,6,0,638,638
Bacterial-Spot-Tomatoes_jpg.rf.66469cde90ceb574e929dba608e66bbe.jpg,640,640,Tomato leaf mosaic virus,235,359,343,496
Bacterial-Spot-Tomatoes_jpg.rf.66469cde90ceb574e929dba608e66bbe.jpg,640,640,Tomato leaf mosaic virus,402,259,583,456
Bacterial-Spot-Tomatoes_jpg.rf.66469cde90ceb574e929dba608e66bbe.jpg,640,640,Tomato leaf mosaic virus,229,40,574,251
Bacterial-Spot-Tomatoes_jpg.rf.66469cde90ceb574e929dba608e66bbe.jpg,640,640,Tomato leaf mosaic virus,34,63,198,335
Leaf-2Bspot-2B1000_jpg.rf.325f43dd7dd8a5f77f3977e94eaf344b.jpg,640,640,Tomato leaf mosaic virus,8,1,629,614
20080526-_DSC4211_jpg.rf.b2339f16bac2e0dcdaed8f7feb3253b5.jpg,640,640,Tomato Early blight leaf,96,352,193,474
20080526-_DSC4211_jpg.rf.b2339f16bac2e0dcdaed8f7feb3253b5.jpg,640,640,Tomato Early blight leaf,205,403,326,531
20080526-_DSC4211_jpg.rf.b2339f16bac2e0dcdaed8f7feb3253b5.jpg,640,640,Tomato Early blight leaf,345,384,481,505
20080526-_DSC4211_jpg.rf.b2339f16bac2e0dcdaed8f7feb3253b5.jpg,640,640,Tomato Early blight leaf,161,288,262,359
20080526-_DSC4211_jpg.rf.b2339f16bac2e0dcdaed8f7feb3253b5.jpg,640,640,Tomato Early blight leaf,307,172,378,237
