epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1274.15,1.66592,3.60328,1.82498,0.1238,0.27424,0.09487,0.04462,1.75401,3.61999,2.09404,0.000276623,0.000276623,0.000276623
2,2433.32,1.68714,3.0964,1.83554,0.12834,0.29118,0.12128,0.05519,1.83554,3.22793,2.03611,0.000526852,0.000526852,0.000526852
3,3599.2,1.66278,2.91083,1.80657,0.18021,0.25373,0.13184,0.0597,1.75725,3.1562,2.00644,0.000749592,0.000749592,0.000749592
4,4737.7,1.64934,2.83997,1.79968,0.19433,0.31568,0.15419,0.07268,1.75188,2.96487,1.977,0.000709299,0.000709299,0.000709299
5,5867.31,1.64021,2.74958,1.7733,0.20818,0.31307,0.19876,0.09435,1.73454,2.65651,1.89281,0.000668066,0.000668066,0.000668066
6,7001.21,1.61744,2.64216,1.7503,0.22575,0.33588,0.20485,0.10078,1.68139,2.72677,1.94392,0.000626832,0.000626832,0.000626832
7,8140.94,1.58741,2.54796,1.72617,0.24216,0.37373,0.22888,0.11563,1.66212,2.51364,1.85204,0.000585599,0.000585599,0.000585599
8,9284.5,1.57545,2.5,1.71184,0.28696,0.38136,0.28448,0.14175,1.66319,2.47865,1.84256,0.000544365,0.000544365,0.000544365
9,10429,1.5437,2.4421,1.69428,0.298,0.35249,0.27365,0.14135,1.60587,2.4207,1.78505,0.000503132,0.000503132,0.000503132
10,11591.4,1.52921,2.3981,1.67793,0.33839,0.40145,0.30581,0.16643,1.56791,2.29942,1.76315,0.000461898,0.000461898,0.000461898
11,29361.5,1.5417,2.38063,1.75428,0.29966,0.39083,0.30098,0.15977,1.54613,2.26758,1.7885,0.000420665,0.000420665,0.000420665
12,30513.6,1.52204,2.24824,1.74218,0.37083,0.43349,0.34581,0.18573,1.55472,2.24832,1.76702,0.000379431,0.000379431,0.000379431
13,31675.9,1.49606,2.18028,1.72106,0.41612,0.39595,0.36916,0.19847,1.50861,2.08948,1.72475,0.000338198,0.000338198,0.000338198
14,32838,1.46214,2.118,1.6831,0.38859,0.43873,0.38664,0.21317,1.51598,2.04981,1.7446,0.000296964,0.000296964,0.000296964
15,33999.9,1.44867,2.06118,1.67814,0.41854,0.44392,0.42411,0.23507,1.48687,1.92866,1.71711,0.000255731,0.000255731,0.000255731
16,35152.1,1.419,1.9915,1.64509,0.42016,0.45469,0.43634,0.24554,1.47545,1.92259,1.70965,0.000214497,0.000214497,0.000214497
17,36315.3,1.398,1.92184,1.6252,0.45281,0.48097,0.45744,0.25266,1.46734,1.88924,1.67551,0.000173264,0.000173264,0.000173264
18,37512.5,1.39148,1.87131,1.61553,0.47704,0.48144,0.4756,0.26863,1.45107,1.91802,1.67066,0.000132031,0.000132031,0.000132031
19,38762.7,1.36115,1.80898,1.58972,0.45672,0.51554,0.48775,0.27871,1.41651,1.79354,1.64295,9.0797e-05,9.0797e-05,9.0797e-05
20,40123.5,1.3376,1.77209,1.58094,0.50077,0.51361,0.49354,0.28136,1.42811,1.79049,1.65276,4.95635e-05,4.95635e-05,4.95635e-05
